Name of Movies,Year of release,Certificates,Duration of movie,Genre,Star,Metascore,Votes
" Love, Death & Robots",2019– ,TV-MA,18 min,"Animation, Short, Comedy",8.1,nil,"7,134"
 Invincible,2021– ,TV-MA,45 min,"Animation, Action, Adventure",9.7,nil,"7,061"
Time,2021– ,not rated,59 min,"Crime, Drama",8.5,nil,"6,953"
 Aspirants,2021– ,not rated,46 min,Drama,9.6,nil,"6,878"
Kaagaz,2021,not rated,109 min,"Biography, Comedy, Drama",7.5,nil,"6,832"
Sandeep Aur Pinky Faraar,2021,not rated,125 min,"Comedy, Crime, Drama",6.3,nil,"6,774"
Cosmic Sin,2021,R,88 min,"Action, Adventure, Sci-Fi",2.5,9        ,"6,756"
 Invincible,2021– ,TV-MA,48 min,"Animation, Action, Adventure",9.6,nil,"6,689"
Vincenzo,2021– ,Not Rated,80 min,"Comedy, Crime, Romance",8.6,nil,"6,651"
" Love, Death & Robots",2019– ,TV-MA,12 min,"Animation, Short, Comedy",6.5,nil,"6,631"
Sentinelle,2021,TV-MA,80 min,"Action, Crime, Drama",4.7,nil,"6,628"
Debris,2021,TV-PG,nil,"Drama, Mystery, Sci-Fi",6.5,nil,"6,498"
Roohi,2021,not rated,134 min,"Comedy, Horror",4.3,nil,"6,490"
Operation Varsity Blues,2021,R,99 min,"Documentary, Crime, Drama",7.0,70        ,"6,465"
" Love, Death & Robots",2019– ,TV-MA,18 min,"Animation, Short, Comedy",7.9,nil,"6,382"
Music,2021,PG-13,107 min,"Drama, Musical",3.1,23        ,"6,370"
Joji,2021,not rated,113 min,"Crime, Drama",7.9,nil,"6,361"
Bang Baang,2021– ,not rated,18 min,"Action, Thriller",6.9,nil,"6,311"
Clarice,2021– ,TV-14,60 min,"Crime, Drama, Mystery",6.5,nil,"6,293"
" Love, Death & Robots",2019– ,TV-MA,13 min,"Animation, Short, Comedy",6.1,nil,"6,288"
SAS: Red Notice,2021,R,124 min,"Action, Thriller",4.9,nil,"6,227"
Fatma,2021– ,TV-MA,40 min,"Crime, Drama, Thriller",7.5,nil,"6,221"
Sky Rojo,2021– ,TV-MA,31 min,"Action, Adventure, Crime",6.5,nil,"6,196"
Tell Me Your Secrets,I 2021– ,TV-14,nil,"Crime, Drama, Mystery",7.4,nil,"6,170"
Snabba Cash,2021– ,TV-MA,52 min,"Action, Crime, Drama",7.6,nil,"6,125"
Sherni,2021,not rated,131 min,Drama,7.0,nil,"6,123"
 Invincible,2021– ,TV-MA,47 min,"Animation, Action, Adventure",9.0,nil,"6,112"
Walker,2021– ,TV-14,nil,"Action, Crime, Drama",5.9,nil,"6,101"
Sunflower,2021– ,not rated,36 min,"Comedy, Crime",7.7,nil,"6,030"
